timestamp_h,day_of_year,hour_of_day,day_of_week,solar_irradiance_wm2,wind_speed_ms,ambient_temp_c,humidity_pct,pv_output_kw,wind_output_kw,load_demand_kw,grid_tariff_inr_per_kwh,net_demand_kw,pv_ramp_kw,load_ramp_kw
50,2,2,2,0.0,6.27,2.54,83.67,0.0,14.439,155.705,3.75,141.266,0.0,-2.443
51,2,3,2,0.0,6.05,4.28,77.12,0.0,11.668,148.245,3.75,136.577,0.0,-7.46
52,2,4,2,0.0,5.45,4.85,78.43,0.0,6.047,169.577,3.75,163.53,0.0,21.332
53,2,5,2,0.0,5.08,5.3,79.62,0.0,3.69,163.602,3.75,159.912,0.0,-5.975
54,2,6,2,0.0,5.25,4.08,76.95,0.0,4.685,178.045,8.2,173.36,0.0,14.443
55,2,7,2,118.86,5.31,2.95,66.66,59.428,5.075,196.046,8.2,131.543,59.428,18.001
56,2,8,2,277.6,5.4,5.56,66.64,138.801,5.719,232.434,8.2,87.914,79.373,36.388
57,2,9,2,460.33,5.26,10.94,58.56,230.166,4.762,237.943,6.1,3.015,91.365,5.509
58,2,10,2,579.89,5.59,10.3,57.63,289.947,7.125,244.423,6.1,-52.649,59.781,6.48
59,2,11,2,691.53,5.05,11.33,51.87,345.763,3.566,238.737,6.1,-110.592,55.816,-5.686
60,2,12,2,679.98,4.91,15.45,42.7,339.988,2.847,217.228,6.1,-125.607,-5.775,-21.509
61,2,13,2,644.37,5.3,15.95,32.88,322.187,5.006,205.424,6.1,-121.769,-17.801,-11.804
62,2,14,2,564.88,6.36,15.06,38.56,282.438,15.62,193.75,6.1,-104.308,-39.749,-11.674
63,2,15,2,444.63,6.25,14.88,34.46,222.316,14.083,183.737,6.1,-52.662,-60.122,-10.013
64,2,16,2,290.7,6.12,14.87,23.66,145.35,12.538,197.089,6.1,39.201,-76.966,13.352
65,2,17,2,126.66,5.71,14.7,38.73,63.331,8.182,205.311,6.1,133.798,-82.019,8.222
66,2,18,2,0.0,6.37,15.4,43.47,0.0,15.712,231.051,9.5,215.339,-63.331,25.74
67,2,19,2,0.0,6.32,12.74,56.03,0.0,15.119,236.304,9.5,221.185,0.0,5.253
68,2,20,2,0.0,6.48,11.66,42.65,0.0,17.302,213.741,9.5,196.439,0.0,-22.563
69,2,21,2,0.0,6.04,10.64,46.59,0.0,11.518,205.479,9.5,193.961,0.0,-8.262
70,2,22,2,0.0,6.04,6.28,48.34,0.0,11.508,203.188,6.1,191.68,0.0,-2.291
71,2,23,2,0.0,5.74,7.14,61.43,0.0,8.419,163.529,6.1,155.11,0.0,-39.659
72,3,0,3,0.0,6.4,4.67,66.21,0.0,16.218,152.213,3.75,135.995,0.0,-11.316
73,3,1,3,0.0,6.28,1.05,64.27,0.0,14.542,150.328,3.75,135.786,0.0,-1.885
74,3,2,3,0.0,6.48,0.92,71.27,0.0,17.409,159.876,3.75,142.467,0.0,9.548
75,3,3,3,0.0,6.81,2.05,62.45,0.0,22.783,157.007,3.75,134.224,0.0,-2.869
76,3,4,3,0.0,5.85,4.11,80.56,0.0,9.518,157.768,3.75,148.25,0.0,0.761
77,3,5,3,0.0,5.74,4.21,69.69,0.0,8.489,172.522,3.75,164.033,0.0,14.754
78,3,6,3,0.0,5.71,5.25,72.11,0.0,8.214,187.919,8.2,179.705,0.0,15.397
79,3,7,3,120.28,5.99,8.61,60.58,60.138,10.985,204.994,8.2,133.871,60.138,17.075
80,3,8,3,287.96,5.67,6.19,61.51,143.979,7.846,213.523,8.2,61.698,83.841,8.529
81,3,9,3,441.14,5.59,9.24,58.5,220.57,7.135,247.76,6.1,20.055,76.591,34.237
82,3,10,3,567.72,5.69,11.19,54.93,283.862,8.014,251.548,6.1,-40.328,63.292,3.788
83,3,11,3,647.17,5.88,11.39,52.7,323.587,9.865,229.919,6.1,-103.533,39.725,-21.629
84,3,12,3,650.24,6.64,13.55,53.63,325.122,19.907,223.271,6.1,-121.758,1.535,-6.648
85,3,13,3,638.2,6.47,12.55,45.25,319.101,17.121,208.471,6.1,-127.751,-6.021,-14.8
86,3,14,3,547.19,5.9,16.76,43.45,273.593,10.018,188.973,6.1,-94.638,-45.508,-19.498
87,3,15,3,423.43,6.51,14.45,44.36,211.717,17.787,179.565,6.1,-49.939,-61.876,-9.408
88,3,16,3,276.27,6.14,17.5,38.42,138.133,12.707,195.263,6.1,44.423,-73.584,15.698
89,3,17,3,119.68,6.77,14.43,35.46,59.84,21.975,210.584,6.1,128.769,-78.293,15.321
90,3,18,3,0.0,6.36,14.75,43.73,0.0,15.592,214.342,9.5,198.75,-59.84,3.758
91,3,19,3,0.0,5.57,12.21,47.3,0.0,6.997,231.864,9.5,224.867,0.0,17.522
92,3,20,3,0.0,5.68,10.79,48.89,0.0,7.914,232.842,9.5,224.928,0.0,0.978
93,3,21,3,0.0,6.71,8.57,41.1,0.0,21.001,214.077,9.5,193.076,0.0,-18.765
94,3,22,3,0.0,6.5,7.86,49.95,0.0,17.608,186.862,6.1,169.254,0.0,-27.215
95,3,23,3,0.0,6.03,6.65,58.53,0.0,11.47,156.23,6.1,144.76,0.0,-30.632
96,4,0,4,0.0,5.61,4.12,69.68,0.0,7.346,154.157,3.75,146.811,0.0,-2.073
97,4,1,4,0.0,6.25,3.96,69.01,0.0,14.19,150.285,3.75,136.095,0.0,-3.872
98,4,2,4,0.0,6.47,2.78,79.14,0.0,17.212,154.153,3.75,136.941,0.0,3.868
99,4,3,4,0.0,6.33,6.07,82.21,0.0,15.162,169.749,3.75,154.587,0.0,15.596
100,4,4,4,0.0,5.66,3.41,82.2,0.0,7.745,154.22,3.75,146.475,0.0,-15.529
101,4,5,4,0.0,5.85,5.97,81.55,0.0,9.555,148.563,3.75,139.008,0.0,-5.657
102,4,6,4,0.0,6.45,4.83,66.1,0.0,16.88,178.376,8.2,161.496,0.0,29.813
103,4,7,4,114.26,5.8,6.62,72.04,57.132,9.038,209.106,8.2,142.936,57.132,30.73
104,4,8,4,261.32,5.56,6.17,61.35,130.662,6.867,223.736,8.2,86.207,73.53,14.63
105,4,9,4,410.73,5.77,8.77,50.28,205.366,8.717,227.501,6.1,13.418,74.704,3.765
106,4,10,4,520.14,6.5,11.11,53.28,260.07,17.688,231.057,6.1,-46.701,54.704,3.556
107,4,11,4,598.88,7.94,14.21,57.77,299.438,49.558,234.845,6.1,-114.151,39.368,3.788
108,4,12,4,655.03,8.27,13.82,47.76,327.513,60.337,215.149,6.1,-172.701,28.075,-19.696
109,4,13,4,590.18,8.13,16.16,52.96,295.09,55.597,213.915,6.1,-136.772,-32.423,-1.234
110,4,14,4,528.22,7.62,15.87,38.74,264.108,40.488,194.442,6.1,-110.154,-30.982,-19.473
111,4,15,4,413.9,7.08,17.26,50.37,206.948,27.912,189.0,6.1,-45.86,-57.16,-5.442
112,4,16,4,260.06,6.08,15.03,36.07,130.029,12.071,194.064,6.1,51.964,-76.919,5.064
113,4,17,4,105.44,6.01,17.37,35.82,52.721,11.212,215.011,6.1,151.078,-77.308,20.947
114,4,18,4,0.0,6.36,12.97,30.0,0.0,15.56,225.653,9.5,210.093,-52.721,10.642
115,4,19,4,0.0,6.22,11.39,47.52,0.0,13.748,231.493,9.5,217.745,0.0,5.84
116,4,20,4,0.0,6.66,9.41,41.99,0.0,20.12,224.426,9.5,204.306,0.0,-7.067
117,4,21,4,0.0,7.42,12.11,45.94,0.0,35.559,206.249,9.5,170.69,0.0,-18.177
118,4,22,4,0.0,6.99,8.74,62.69,0.0,26.18,179.145,6.1,152.965,0.0,-27.104
119,4,23,4,0.0,6.89,5.91,67.13,0.0,24.3,164.687,6.1,140.387,0.0,-14.458
120,5,0,5,0.0,6.68,6.61,71.79,0.0,20.545,112.33,3.75,91.785,0.0,-52.357
121,5,1,5,0.0,6.38,4.98,66.97,0.0,15.959,132.54,3.75,116.581,0.0,20.21
122,5,2,5,0.0,7.04,5.91,72.01,0.0,27.047,106.508,3.75,79.461,0.0,-26.032
123,5,3,5,0.0,6.76,1.49,73.96,0.0,21.937,116.671,3.75,94.734,0.0,10.163
124,5,4,5,0.0,6.39,3.24,79.7,0.0,15.993,125.912,3.75,109.919,0.0,9.241
125,5,5,5,0.0,7.5,3.6,83.64,0.0,37.539,131.058,3.75,93.519,0.0,5.146
126,5,6,5,0.0,7.8,2.74,74.53,0.0,45.509,153.935,8.2,108.426,0.0,22.877
127,5,7,5,127.03,6.86,7.62,80.99,63.516,23.743,157.202,8.2,69.943,63.516,3.267
128,5,8,5,291.33,6.3,7.47,70.38,145.667,14.837,172.035,8.2,11.531,82.151,14.833
129,5,9,5,441.81,5.66,10.24,58.77,220.904,7.786,191.092,6.1,-37.598,75.237,19.057
130,5,10,5,568.05,4.95,13.73,59.97,284.025,3.033,203.098,6.1,-83.96,63.121,12.006
131,5,11,5,624.14,7.57,11.93,60.06,312.07,39.316,196.189,6.1,-155.197,28.045,-6.909
132,5,12,5,673.83,7.84,13.09,56.99,336.915,46.613,174.061,6.1,-209.467,24.845,-22.128
133,5,13,5,641.9,7.67,14.69,47.98,320.951,41.974,162.801,6.1,-200.124,-15.964,-11.26
134,5,14,5,529.66,8.03,16.33,37.83,264.829,52.424,154.221,6.1,-163.032,-56.122,-8.58
135,5,15,5,395.22,7.65,14.67,34.38,197.611,41.292,152.132,6.1,-86.771,-67.218,-2.089
136,5,16,5,258.47,9.04,14.39,38.46,129.234,90.458,148.934,6.1,-70.758,-68.377,-3.198
137,5,17,5,114.57,8.49,15.81,45.73,57.284,68.198,173.146,6.1,47.664,-71.95,24.212
138,5,18,5,0.0,8.09,14.05,40.28,0.0,54.425,176.958,9.5,122.533,-57.284,3.812
139,5,19,5,0.0,7.99,9.9,43.59,0.0,51.111,178.498,9.5,127.387,0.0,1.54
140,5,20,5,0.0,8.49,9.43,45.31,0.0,67.937,163.326,9.5,95.389,0.0,-15.172
141,5,21,5,0.0,7.55,11.15,47.86,0.0,38.887,161.421,9.5,122.534,0.0,-1.905
142,5,22,5,0.0,7.37,8.28,54.03,0.0,34.428,130.67,6.1,96.242,0.0,-30.751
143,5,23,5,0.0,7.51,5.44,60.99,0.0,37.779,128.028,6.1,90.249,0.0,-2.642
144,6,0,6,0.0,6.6,4.95,75.31,0.0,19.278,110.693,3.75,91.415,0.0,-17.335
145,6,1,6,0.0,6.34,4.21,67.7,0.0,15.291,118.023,3.75,102.732,0.0,7.33
146,6,2,6,0.0,6.49,4.48,72.64,0.0,17.534,132.043,3.75,114.509,0.0,14.02
147,6,3,6,0.0,6.94,1.76,69.13,0.0,25.198,124.297,3.75,99.099,0.0,-7.746
148,6,4,6,0.0,7.72,2.59,79.3,0.0,43.248,136.399,3.75,93.151,0.0,12.102
149,6,5,6,0.0,7.31,4.53,82.52,0.0,33.022,138.311,3.75,105.289,0.0,1.912
150,6,6,6,0.0,7.63,5.03,82.07,0.0,40.944,153.979,8.2,113.035,0.0,15.668
151,6,7,6,116.21,8.9,7.08,70.36,58.104,84.666,174.127,8.2,31.357,58.104,20.148
152,6,8,6,258.04,9.03,6.37,68.45,129.021,90.178,167.62,8.2,-51.579,70.917,-6.507
153,6,9,6,401.75,8.95,9.82,59.26,200.877,86.799,177.735,6.1,-109.941,71.856,10.115
154,6,10,6,528.07,7.96,12.26,58.17,264.034,50.115,193.489,6.1,-120.66,63.157,15.754
155,6,11,6,656.98,8.1,12.98,51.71,328.492,54.467,184.436,6.1,-198.523,64.458,-9.053
156,6,12,6,692.36,7.0,13.8,45.35,346.182,26.289,176.477,6.1,-195.994,17.69,-7.959
157,6,13,6,686.37,6.03,14.47,41.68,343.186,11.396,160.798,6.1,-193.784,-2.996,-15.679
158,6,14,6,584.33,6.46,14.19,40.39,292.163,17.049,148.691,6.1,-160.521,-51.023,-12.107
159,6,15,6,430.39,5.71,15.31,33.92,215.193,8.153,163.543,6.1,-59.803,-76.97,14.852
160,6,16,6,265.84,5.49,16.7,33.55,132.918,6.322,146.523,6.1,7.283,-82.275,-17.02
161,6,17,6,110.74,6.22,14.45,45.93,55.368,13.75,170.728,6.1,101.61,-77.55,24.205
162,6,18,6,0.0,5.53,12.57,53.94,0.0,6.659,179.059,9.5,172.4,-55.368,8.331
163,6,19,6,0.0,5.12,11.8,33.63,0.0,3.91,165.776,9.5,161.866,0.0,-13.283
164,6,20,6,0.0,5.35,11.19,37.44,0.0,5.339,166.413,9.5,161.074,0.0,0.637
165,6,21,6,0.0,6.81,8.95,44.08,0.0,22.818,155.217,9.5,132.399,0.0,-11.196
166,6,22,6,0.0,6.99,8.42,54.38,0.0,26.093,149.966,6.1,123.873,0.0,-5.251
167,6,23,6,0.0,7.87,7.02,65.55,0.0,47.542,129.412,6.1,81.87,0.0,-20.554
168,7,0,0,0.0,8.59,6.26,68.55,0.0,71.97,146.632,3.75,74.662,0.0,17.22
169,7,1,0,0.0,9.82,5.95,70.17,0.0,130.598,136.333,3.75,5.735,0.0,-10.299
170,7,2,0,0.0,9.93,4.84,75.49,0.0,137.033,168.234,3.75,31.201,0.0,31.901
171,7,3,0,0.0,9.67,2.32,70.17,0.0,122.239,153.671,3.75,31.432,0.0,-14.563
172,7,4,0,0.0,8.66,2.56,73.54,0.0,74.791,163.603,3.75,88.812,0.0,9.932
173,7,5,0,0.0,8.62,4.15,74.2,0.0,72.923,165.948,3.75,93.025,0.0,2.345
174,7,6,0,0.0,8.34,4.66,62.82,0.0,62.706,180.18,8.2,117.474,0.0,14.232
175,7,7,0,112.12,8.15,5.07,62.17,56.058,56.229,218.978,8.2,106.691,56.058,38.798
176,7,8,0,282.07,7.96,7.36,58.27,141.036,50.241,206.508,8.2,15.231,84.978,-12.47
177,7,9,0,445.92,8.22,8.87,64.76,222.959,58.683,237.674,6.1,-43.968,81.923,31.166
178,7,10,0,578.53,8.62,10.19,56.47,289.266,72.913,230.903,6.1,-131.276,66.307,-6.771
179,7,11,0,674.4,7.46,12.06,53.49,337.198,36.575,232.657,6.1,-141.116,47.932,1.754
180,7,12,0,737.92,7.11,15.1,33.96,368.96,28.588,218.323,6.1,-179.225,31.762,-14.334
181,7,13,0,707.61,7.15,14.88,31.96,353.804,29.314,200.287,6.1,-182.831,-15.156,-18.036
182,7,14,0,602.77,7.52,18.2,41.66,301.387,37.975,196.532,6.1,-142.83,-52.417,-3.755
183,7,15,0,479.29,7.48,15.65,19.01,239.645,37.039,172.016,6.1,-104.668,-61.742,-24.516
184,7,16,0,307.91,8.45,14.89,42.35,153.954,66.438,196.104,6.1,-24.288,-85.691,24.088
185,7,17,0,136.48,8.47,14.64,24.74,68.241,67.326,210.585,6.1,75.018,-85.713,14.481
186,7,18,0,0.0,7.78,13.99,42.74,0.0,45.081,212.746,9.5,167.665,-68.241,2.161
187,7,19,0,0.0,8.03,12.96,35.53,0.0,52.314,240.257,9.5,187.943,0.0,27.511
188,7,20,0,0.0,7.97,13.49,51.29,0.0,50.533,216.555,9.5,166.022,0.0,-23.702
189,7,21,0,0.0,7.62,8.43,69.07,0.0,40.542,203.374,9.5,162.832,0.0,-13.181
190,7,22,0,0.0,6.9,8.92,41.36,0.0,24.476,181.265,6.1,156.789,0.0,-22.109
191,7,23,0,0.0,6.21,6.69,64.35,0.0,13.635,168.597,6.1,154.962,0.0,-12.668
192,8,0,1,0.0,5.77,3.36,54.15,0.0,8.749,157.408,3.75,148.659,0.0,-11.189
193,8,1,1,0.0,5.71,5.22,71.7,0.0,8.229,167.402,3.75,159.173,0.0,9.994
194,8,2,1,0.0,6.07,5.22,71.08,0.0,11.883,155.211,3.75,143.328,0.0,-12.191
195,8,3,1,0.0,6.7,2.46,75.1,0.0,20.918,161.417,3.75,140.499,0.0,6.206
196,8,4,1,0.0,6.17,3.68,69.53,0.0,13.097,172.937,3.75,159.84,0.0,11.52
197,8,5,1,0.0,5.54,2.22,79.0,0.0,6.706,171.832,3.75,165.126,0.0,-1.105
198,8,6,1,0.0,5.34,3.74,63.63,0.0,5.266,197.492,8.2,192.226,0.0,25.66
199,8,7,1,124.43,5.91,7.75,76.59,62.217,10.095,209.499,8.2,137.187,62.217,12.007
200,8,8,1,295.73,5.45,7.38,62.54,147.866,6.057,222.431,8.2,68.508,85.649,12.932
201,8,9,1,484.95,5.96,8.16,51.76,242.475,10.674,237.65,6.1,-15.499,94.609,15.219
202,8,10,1,628.61,6.38,11.32,64.57,314.307,15.927,225.412,6.1,-104.822,71.832,-12.238
203,8,11,1,734.9,6.86,11.86,49.42,367.452,23.754,237.635,6.1,-153.571,53.145,12.223
204,8,12,1,711.89,6.53,13.17,56.45,355.944,18.107,210.51,6.1,-163.541,-11.508,-27.125
205,8,13,1,678.95,6.36,15.57,48.19,339.474,15.628,194.645,6.1,-160.457,-16.47,-15.865
206,8,14,1,571.57,6.51,13.89,32.89,285.784,17.744,197.294,6.1,-106.234,-53.69,2.649
207,8,15,1,421.09,8.39,14.4,35.17,210.544,64.325,183.159,6.1,-91.71,-75.24,-14.135
208,8,16,1,261.42,7.86,15.47,35.73,130.709,47.305,198.066,6.1,20.052,-79.835,14.907
209,8,17,1,110.74,7.78,15.85,44.84,55.369,44.805,211.879,6.1,111.705,-75.34,13.813
210,8,18,1,0.0,8.47,15.22,40.3,0.0,67.486,224.517,9.5,157.031,-55.369,12.638
211,8,19,1,0.0,8.14,11.69,41.92,0.0,55.903,220.339,9.5,164.436,0.0,-4.178
212,8,20,1,0.0,7.82,12.17,43.8,0.0,46.029,227.938,9.5,181.909,0.0,7.599
213,8,21,1,0.0,7.36,8.55,49.52,0.0,34.223,204.038,9.5,169.815,0.0,-23.9
214,8,22,1,0.0,7.33,10.13,62.83,0.0,33.516,189.059,6.1,155.543,0.0,-14.979
215,8,23,1,0.0,6.81,5.13,60.2,0.0,22.782,159.248,6.1,136.466,0.0,-29.811
216,9,0,2,0.0,6.68,6.89,62.63,0.0,20.551,145.141,3.75,124.59,0.0,-14.107
217,9,1,2,0.0,6.44,3.56,65.76,0.0,16.763,156.02,3.75,139.257,0.0,10.879
218,9,2,2,0.0,6.87,6.16,69.0,0.0,23.773,156.627,3.75,132.854,0.0,0.607
219,9,3,2,0.0,6.79,4.25,65.91,0.0,22.384,145.945,3.75,123.561,0.0,-10.682
220,9,4,2,0.0,6.4,2.53,70.5,0.0,16.216,154.435,3.75,138.219,0.0,8.49
221,9,5,2,0.0,6.53,3.72,83.31,0.0,18.105,161.498,3.75,143.393,0.0,7.063
222,9,6,2,0.0,6.44,6.24,71.08,0.0,16.789,179.207,8.2,162.418,0.0,17.709
223,9,7,2,117.62,6.18,7.8,73.37,58.811,13.183,191.448,8.2,119.454,58.811,12.241
224,9,8,2,278.85,5.62,7.9,50.13,139.426,7.394,219.609,8.2,72.789,80.615,28.161
225,9,9,2,442.56,5.92,9.59,63.59,221.279,10.245,239.313,6.1,7.789,81.853,19.704
226,9,10,2,628.94,6.7,12.0,54.03,314.468,20.84,233.091,6.1,-102.217,93.189,-6.222
227,9,11,2,764.56,6.15,12.7,46.93,382.278,12.922,233.973,6.1,-161.227,67.81,0.882
228,9,12,2,769.5,5.98,12.23,46.09,384.752,10.923,220.527,6.1,-175.148,2.474,-13.446
229,9,13,2,722.94,6.17,13.76,37.88,361.469,13.064,215.558,6.1,-158.975,-23.283,-4.969
230,9,14,2,593.22,5.68,15.62,24.94,296.608,7.894,190.358,6.1,-114.144,-64.861,-25.2
231,9,15,2,446.01,5.18,17.0,41.21,223.005,4.272,186.979,6.1,-40.298,-73.603,-3.379
232,9,16,2,287.76,4.61,17.28,36.46,143.879,1.725,190.849,6.1,45.245,-79.126,3.87
233,9,17,2,127.41,4.06,15.67,33.8,63.704,0.487,201.133,6.1,136.942,-80.175,10.284
234,9,18,2,0.0,3.75,14.13,31.88,0.0,0.17,226.717,9.5,226.547,-63.704,25.584
235,9,19,2,0.0,3.82,13.44,32.04,0.0,0.226,225.91,9.5,225.684,0.0,-0.807
236,9,20,2,0.0,4.54,10.29,46.34,0.0,1.511,220.624,9.5,219.113,0.0,-5.286
237,9,21,2,0.0,5.17,9.36,59.5,0.0,4.198,214.427,9.5,210.229,0.0,-6.197
238,9,22,2,0.0,5.31,7.0,56.22,0.0,5.066,195.714,6.1,190.648,0.0,-18.713
239,9,23,2,0.0,5.93,5.04,51.88,0.0,10.399,155.219,6.1,144.82,0.0,-40.495
240,10,0,3,0.0,5.99,5.75,66.35,0.0,10.963,151.374,3.75,140.411,0.0,-3.845
241,10,1,3,0.0,5.4,4.62,68.82,0.0,5.69,148.669,3.75,142.979,0.0,-2.705
242,10,2,3,0.0,5.39,4.63,77.5,0.0,5.642,144.791,3.75,139.149,0.0,-3.878
243,10,3,3,0.0,5.55,4.25,77.96,0.0,6.795,154.554,3.75,147.759,0.0,9.763
244,10,4,3,0.0,5.57,4.09,57.09,0.0,6.973,144.581,3.75,137.608,0.0,-9.973
245,10,5,3,0.0,5.83,5.07,77.59,0.0,9.347,180.674,3.75,171.327,0.0,36.093
246,10,6,3,0.0,5.58,5.3,66.3,0.0,7.059,188.104,8.2,181.045,0.0,7.43
247,10,7,3,111.35,6.01,7.09,60.61,55.676,11.194,195.199,8.2,128.329,55.676,7.095
248,10,8,3,293.98,6.34,7.17,63.87,146.989,15.339,215.465,8.2,53.137,91.313,20.266
249,10,9,3,441.84,5.91,10.04,62.64,220.918,10.166,220.021,6.1,-11.063,73.929,4.556
250,10,10,3,568.81,6.64,11.95,45.16,284.405,19.9,236.245,6.1,-68.06,63.487,16.224
251,10,11,3,665.9,6.42,11.79,54.05,332.948,16.513,230.233,6.1,-119.228,48.543,-6.012
252,10,12,3,740.77,6.94,13.9,49.58,370.386,25.155,211.12,6.1,-184.421,37.438,-19.113
253,10,13,3,681.7,6.86,14.04,41.14,340.848,23.598,212.799,6.1,-151.647,-29.538,1.679
254,10,14,3,586.13,6.14,14.76,32.47,293.063,12.726,204.964,6.1,-100.825,-47.785,-7.835
255,10,15,3,462.79,5.68,14.25,29.81,231.397,7.9,190.871,6.1,-48.426,-61.666,-14.093
256,10,16,3,298.62,6.72,16.91,41.16,149.312,21.178,194.665,6.1,24.175,-82.085,3.794
257,10,17,3,124.81,6.59,16.07,26.61,62.405,18.982,213.174,6.1,131.787,-86.907,18.509
258,10,18,3,0.0,6.9,14.48,44.07,0.0,24.434,221.756,9.5,197.322,-62.405,8.582
